Dấu thời gian,"1. Bạn hiện đang thuộc nhóm đối tượng nào?
(Chọn một)","2. Lĩnh vực nghiên cứu/chuyên môn chính của bạn là gì?
(Câu trả lời ngắn)","3. Kinh nghiệm nghiên cứu của bạn?
(Chọn một)","4. Bạn thường tìm kiếm paper phục vụ mục đích nào?
(Có thể chọn nhiều)",5. Trung bình mỗi tuần bạn dành bao nhiêu thời gian để tìm kiếm và đọc paper? ,"6. Hiện tại bạn thường sử dụng công cụ nào để tìm paper?
(Có thể chọn nhiều)",7. Những khó khăn lớn  của bạn khi tìm kiếm paper là gì?,8. Bạn thường mất bao lâu để đánh giá nhanh một paper có phù hợp với mình hay không?,"9. Khi đọc một paper mới, phần nào khiến bạn mất nhiều thời gian nhất?",10. Bạn đánh giá mức độ hữu ích của tính năng AI tự động tóm tắt paper? 
7/30/2026 12:05:12,Sinh viên đại học,Kinh tế số / Data Analysis,Dưới 1 năm,"Làm bài tập/đồ án, Viết báo cáo khoa học, Theo dõi xu hướng trong lĩnh vực",2–5 giờ,"Google Scholar, arXiv, ChatGPT/Gemini/Claude","Có quá nhiều paper, khó chọn bài phù hợp, Khó xác định paper nào có chất lượng cao, Khó hiểu nhanh nội dung paper dài",10-30 phút,Hiểu phương pháp đề xuất,Hữu ích
7/30/2026 12:06:31,Sinh viên đại học,Khoa học máy tính,Dưới 1 năm,Làm bài tập/đồ án,2–5 giờ,"Google Scholar, ResearchGate, arXiv, ChatGPT/Gemini/Claude","Có quá nhiều paper, khó chọn bài phù hợp, Khó xác định paper nào có chất lượng cao, Khó tìm mối liên hệ giữa các công trình nghiên cứu, Khó quản lý số lượng lớn tài liệu",10-30 phút,Hiểu phương pháp đề xuất,Rất hữu ích
7/30/2026 12:08:42,Sinh viên đại học,phần mềm ,Dưới 1 năm,"Làm bài tập/đồ án, Viết báo cáo khoa học",2–5 giờ,ChatGPT/Gemini/Claude,"Khó tìm paper mới nhất trong lĩnh vực, Khó hiểu nhanh nội dung paper dài, Khó lựa chọn hội nghị/ tạp chí phù hợp",Trên 1 giờ,Hiểu phương pháp đề xuất,Rất hữu ích
7/30/2026 12:14:45,Sinh viên đại học,Khoa học máy tính,1–3 năm,"Viết báo cáo khoa học, Chuẩn bị bài báo để gửi hội nghị/tạp chí...",5–10 giờ,"Google Scholar, Semantic Scholar, IEEE Xplore","Khó tìm paper mới nhất trong lĩnh vực, Khó xác định khoảng trống nghiên cứu, Không biết chọn hội nghị phù hợp",10-30 phút,So sánh với các phương pháp trước đó,Rất hữu ích
7/30/2026 12:22:01,Học viên cao học,Hệ thống thông tin,1–3 năm,"Làm khóa luận/luận văn, Tìm hướng nghiên cứu mới",2–5 giờ,"Google Scholar, ResearchGate, ChatGPT/Gemini/Claude","Có quá nhiều paper, khó chọn bài phù hợp, Khó hiểu nhanh nội dung paper dài",10-30 phút,Đọc công thức/ thuật toán,Hữu ích
7/30/2026 12:24:18,Sinh viên đại học,Công nghệ thông tin,Chưa có kinh nghiệm nghiên cứu,"Làm bài tập/đồ án, Làm khóa luận/luận văn",Dưới 2 giờ,"Google Scholar, arXiv, IEEE Xplore","Có quá nhiều paper, khó chọn bài phù hợp, Khó hiểu nhanh nội dung paper dài",30 phút - 1 giờ,Đọc công thức/ thuật toán,Hữu ích
7/30/2026 12:35:10,Sinh viên đại học,Trí tuệ nhân tạo (AI),Dưới 1 năm,"Làm bài tập/đồ án, Tìm hướng nghiên cứu mới",2–5 giờ,"Google Scholar, arXiv","Có quá nhiều paper, khó chọn bài phù hợp, Khó xác định paper nào có chất lượng cao",Dưới 10 phút,Hiểu phương pháp đề xuất,Hữu ích
7/30/2026 12:41:19,Sinh viên đại học,Công nghệ phần mềm,Chưa có kinh nghiệm nghiên cứu,Làm bài tập/đồ án,Dưới 2 giờ,"Google Scholar, ChatGPT/Gemini/Claude",Khó hiểu nhanh nội dung paper dài,10-30 phút,Hiểu phương pháp đề xuất,Bình thường
7/30/2026 12:50:03,Nghiên cứu sinh / Giảng viên,Xử lý ngôn ngữ tự nhiên (NLP),Trên 3 năm,"Viết báo cáo khoa học, Chuẩn bị bài báo để gửi hội nghị/tạp chí...",Trên 10 giờ,"Google Scholar, arXiv, ACL Anthology, Scopus/Web of Science","Có quá nhiều paper, khó chọn bài phù hợp, Khó tìm mối liên hệ giữa các công trình",Dưới 10 phút,Đọc công thức/ thuật toán,Rất hữu ích
7/30/2026 13:02:44,Sinh viên đại học,Thị giác máy tính (CV),Dưới 1 năm,"Làm bài tập/đồ án, Theo dõi xu hướng trong lĩnh vực",2–5 giờ,"Google Scholar, arXiv","Có quá nhiều paper, khó chọn bài phù hợp, Khó xác định paper nào có chất lượng cao",10-30 phút,Hiểu phương pháp đề xuất,Hữu ích
7/30/2026 13:15:20,Học viên cao học,Khoa học dữ liệu,1–3 năm,"Làm khóa luận/luận văn, Viết báo cáo khoa học",5–10 giờ,"Google Scholar, IEEE Xplore, ResearchGate","Khó hiểu nhanh nội dung paper dài, Khó xác định paper nào có chất lượng cao",30 phút - 1 giờ,So sánh với các phương pháp trước đó,Hữu ích
7/30/2026 13:28:55,Sinh viên đại học,An toàn thông tin,Dưới 1 năm,Làm bài tập/đồ án,2–5 giờ,"Google Scholar, ChatGPT/Gemini/Claude","Có quá nhiều paper, khó chọn bài phù hợp, Khó hiểu nhanh nội dung paper dài",10-30 phút,Hiểu phương pháp đề xuất,Không hữu ích
7/30/2026 13:40:11,Sinh viên đại học,Mạng máy tính & Viễn thông,Dưới 1 năm,"Làm bài tập/đồ án, Theo dõi xu hướng trong lĩnh vực",2–5 giờ,"Google Scholar, IEEE Xplore","Có quá nhiều paper, khó chọn bài phù hợp, Khó tìm paper mới nhất trong lĩnh vực",10-30 phút,Hiểu phương pháp đề xuất,Hữu ích
